Time (s),y (m),v (m/s)
0,1,0
0.03,1,0.07
0.06,1,0.13
0.09,1,0.2
0.12,0.99,0.26
0.15,0.99,0.33
0.18,0.99,0.39
0.21,0.98,0.46
0.24,0.98,0.52
0.27,0.97,0.59
0.3,0.97,0.65
0.33,0.96,0.72
0.36,0.95,0.78
0.39,0.94,0.85
0.42,0.93,0.91
0.45,0.92,0.98
0.48,0.91,1.04
0.51,0.9,1.11
0.54,0.89,1.17
0.57,0.88,1.24
0.6,0.87,1.31
0.63,0.85,1.37
0.66,0.84,1.44
0.69,0.82,1.5
0.72,0.81,1.57
0.75,0.79,1.63
0.78,0.77,1.7
0.81,0.76,1.76
0.84,0.74,1.83
0.87,0.72,1.89
0.9,0.7,1.96
0.93,0.68,2.02
0.96,0.66,2.09
0.99,0.64,2.15
1.02,0.61,2.22
1.05,0.59,2.28
1.08,0.57,2.35
1.11,0.54,2.41
1.14,0.52,2.48
1.17,0.49,2.55
1.2,0.46,2.61
1.23,0.44,2.68
1.26,0.41,2.74
1.29,0.38,2.81
1.32,0.35,2.87
1.35,0.32,2.94
1.38,0.29,3
1.41,0.26,3.07
1.44,0.23,3.13
1.47,0.2,3.2
1.5,0.16,3.26
1.53,0.13,3.33
1.56,0.09,3.39
1.59,0.06,3.46
1.62,0.02,3.52
1.64,0,3.57
