time (s),velocity (m/s)
0,0
0.03,0.060332354
0.06,0.120664707
0.09,0.180997061
0.12,0.241329414
0.15,0.301661768
0.18,0.361994121
0.21,0.422326475
0.24,0.482658828
0.27,0.542991182
0.3,0.603323535
0.33,0.663655889
0.36,0.723988242
0.39,0.784320596
0.42,0.844652949
0.45,0.904985303
0.48,0.965317656
0.51,1.02565001
0.54,1.085982363
0.57,1.146314717
0.6,1.20664707
0.63,1.266979424
0.66,1.327311777
0.69,1.387644131
0.72,1.447976484
0.75,1.508308838
0.78,1.568641192
0.81,1.628973545
0.84,1.689305899
0.87,1.749638252
0.9,1.809970606
0.93,1.870302959
0.96,1.930635313
0.99,1.990967666
1.02,2.05130002
1.05,2.111632373
1.08,2.171964727
1.11,2.23229708
1.14,2.292629434
1.17,2.352961787
1.2,2.413294141
1.23,2.473626494
1.26,2.533958848
1.29,2.594291201
1.32,2.654623555
1.35,2.714955908
1.38,2.775288262
1.41,2.835620615
1.44,2.895952969
1.47,2.956285322
1.5,3.016617676
1.53,3.076950029
1.56,3.137282383
1.59,3.197614737
1.62,3.25794709
1.65,3.318279444
1.68,3.378611797
1.71,3.438944151
1.74,3.499276504
1.77,3.559608858
1.8,3.619941211
1.83,3.680273565
1.86,3.740605918
1.89,3.800938272
