Time (s),y (m),v (m/s)
0,1,0
0.03,1,0.07
0.06,1,0.14
0.09,1,0.21
0.12,0.99,0.28
0.15,0.99,0.35
0.18,0.99,0.42
0.21,0.98,0.49
0.24,0.98,0.56
0.27,0.97,0.63
0.3,0.96,0.7
0.33,0.96,0.77
0.36,0.95,0.84
0.39,0.94,0.91
0.42,0.93,0.98
0.45,0.92,1.05
0.48,0.91,1.12
0.51,0.9,1.19
0.54,0.88,1.26
0.57,0.87,1.33
0.6,0.86,1.4
0.63,0.84,1.47
0.66,0.83,1.54
0.69,0.81,1.61
0.72,0.79,1.68
0.75,0.78,1.75
0.78,0.76,1.82
0.81,0.74,1.89
0.84,0.72,1.96
0.87,0.7,2.03
0.9,0.68,2.1
0.93,0.66,2.17
0.96,0.63,2.24
0.99,0.61,2.31
1.02,0.59,2.38
1.05,0.56,2.45
1.08,0.54,2.52
1.11,0.51,2.59
1.14,0.48,2.66
1.17,0.45,2.73
1.2,0.43,2.8
1.23,0.4,2.87
1.26,0.37,2.94
1.29,0.34,3.01
1.32,0.31,3.08
1.35,0.27,3.15
1.38,0.24,3.22
1.41,0.21,3.29
1.44,0.17,3.36
1.47,0.14,3.43
1.5,0.1,3.5
1.53,0.07,3.57
1.56,0.03,3.64
1.59,0,3.69
