Time (s),y (m),v (m/s)
0,1,0
0.03,1,0.05
0.06,1,0.1
0.09,1,0.15
0.12,1,0.19
0.15,0.99,0.24
0.18,0.99,0.29
0.21,0.99,0.34
0.24,0.98,0.39
0.27,0.98,0.44
0.3,0.97,0.49
0.33,0.97,0.54
0.36,0.96,0.58
0.39,0.96,0.63
0.42,0.95,0.68
0.45,0.94,0.73
0.48,0.94,0.78
0.51,0.93,0.83
0.54,0.92,0.88
0.57,0.91,0.92
0.6,0.9,0.97
0.63,0.89,1.02
0.66,0.88,1.07
0.69,0.87,1.12
0.72,0.86,1.17
0.75,0.84,1.22
0.78,0.83,1.27
0.81,0.82,1.31
0.84,0.8,1.36
0.87,0.79,1.41
0.9,0.78,1.46
0.93,0.76,1.51
0.96,0.74,1.56
0.99,0.73,1.61
1.02,0.71,1.65
1.05,0.69,1.7
1.08,0.68,1.75
1.11,0.66,1.8
1.14,0.64,1.85
1.17,0.62,1.9
1.2,0.6,1.95
1.23,0.58,2
1.26,0.56,2.04
1.29,0.54,2.09
1.32,0.52,2.14
1.35,0.49,2.19
1.38,0.47,2.24
1.41,0.45,2.29
1.44,0.42,2.34
1.47,0.4,2.38
1.5,0.38,2.43
1.53,0.35,2.48
1.56,0.32,2.53
1.59,0.3,2.58
1.62,0.27,2.63
1.65,0.24,2.68
1.68,0.22,2.73
1.71,0.19,2.77
1.74,0.16,2.82
1.77,0.13,2.87
1.8,0.1,2.92
1.83,0.07,2.97
1.86,0.04,3.02
1.89,0.01,3.07
1.9,0,3.08
