Time (s),y (m),v (m/s)
0,1,0
0.03,1,0.06
0.06,1,0.12
0.09,1,0.18
0.12,1,0.23
0.15,0.99,0.29
0.18,0.99,0.35
0.21,0.99,0.41
0.24,0.98,0.47
0.27,0.98,0.53
0.3,0.97,0.59
0.33,0.96,0.65
0.36,0.96,0.7
0.39,0.95,0.76
0.42,0.94,0.82
0.45,0.93,0.88
0.48,0.92,0.94
0.51,0.91,1
0.54,0.9,1.06
0.57,0.89,1.12
0.6,0.88,1.17
0.63,0.87,1.23
0.66,0.85,1.29
0.69,0.84,1.35
0.72,0.83,1.41
0.75,0.81,1.47
0.78,0.8,1.53
0.81,0.78,1.59
0.84,0.76,1.64
0.87,0.75,1.7
0.9,0.73,1.76
0.93,0.71,1.82
0.96,0.69,1.88
0.99,0.67,1.94
1.02,0.65,2
1.05,0.63,2.06
1.08,0.61,2.11
1.11,0.59,2.17
1.14,0.56,2.23
1.17,0.54,2.29
1.2,0.52,2.35
1.23,0.49,2.41
1.26,0.47,2.47
1.29,0.44,2.53
1.32,0.42,2.58
1.35,0.39,2.64
1.38,0.36,2.7
1.41,0.33,2.76
1.44,0.31,2.82
1.47,0.28,2.88
1.5,0.25,2.94
1.53,0.22,3
1.56,0.19,3.05
1.59,0.15,3.11
1.62,0.12,3.17
1.65,0.09,3.23
1.68,0.06,3.29
1.71,0.02,3.35
1.73,0,3.38
