Time (s),y (m),v (m/s)
0,1,0
0.03,1,0.09
0.06,1,0.19
0.09,0.99,0.28
0.12,0.99,0.37
0.15,0.98,0.47
0.18,0.97,0.56
0.21,0.96,0.65
0.24,0.94,0.75
0.27,0.93,0.84
0.3,0.91,0.93
0.33,0.89,1.03
0.36,0.87,1.12
0.39,0.85,1.21
0.42,0.82,1.31
0.45,0.8,1.4
0.48,0.77,1.5
0.51,0.74,1.59
0.54,0.71,1.68
0.57,0.67,1.78
0.6,0.64,1.87
0.63,0.6,1.96
0.66,0.56,2.06
0.69,0.52,2.15
0.72,0.48,2.24
0.75,0.44,2.34
0.78,0.39,2.43
0.81,0.34,2.52
0.84,0.29,2.62
0.87,0.24,2.71
0.9,0.19,2.8
0.93,0.13,2.9
0.96,0.08,2.99
0.99,0.02,3.08
1,0,3.11
