Time (s),y (m),v (m/s)
0,1,0
0.03,1,0.05
0.06,1,0.1
0.09,1,0.15
0.12,1,0.2
0.15,0.99,0.24
0.18,0.99,0.29
0.21,0.99,0.34
0.24,0.98,0.39
0.27,0.98,0.44
0.3,0.97,0.49
0.33,0.97,0.54
0.36,0.96,0.59
0.39,0.96,0.64
0.42,0.95,0.69
0.45,0.94,0.73
0.48,0.94,0.78
0.51,0.93,0.83
0.54,0.92,0.88
0.57,0.91,0.93
0.6,0.9,0.98
0.63,0.89,1.03
0.66,0.88,1.08
0.69,0.87,1.13
0.72,0.86,1.17
0.75,0.84,1.22
0.78,0.83,1.27
0.81,0.82,1.32
0.84,0.8,1.37
0.87,0.79,1.42
0.9,0.77,1.47
0.93,0.76,1.52
0.96,0.74,1.57
0.99,0.73,1.62
1.02,0.71,1.66
1.05,0.69,1.71
1.08,0.67,1.76
1.11,0.66,1.81
1.14,0.64,1.86
1.17,0.62,1.91
1.2,0.6,1.96
1.23,0.58,2.01
1.26,0.56,2.06
1.29,0.54,2.1
1.32,0.51,2.15
1.35,0.49,2.2
1.38,0.47,2.25
1.41,0.45,2.3
1.44,0.42,2.35
1.47,0.4,2.4
1.5,0.37,2.45
1.53,0.35,2.5
1.56,0.32,2.55
1.59,0.29,2.59
1.62,0.27,2.64
1.65,0.24,2.69
1.68,0.21,2.74
1.71,0.18,2.79
1.74,0.16,2.84
1.77,0.13,2.89
1.8,0.1,2.94
1.83,0.07,2.99
1.86,0.03,3.03
1.89,0,3.08
