Time (s),y (m),v (m/s)
0,1,0
0.03,1,0.07
0.06,1,0.14
0.09,1,0.22
0.12,0.99,0.29
0.15,0.99,0.36
0.18,0.98,0.43
0.21,0.97,0.51
0.24,0.97,0.58
0.27,0.96,0.65
0.3,0.95,0.72
0.33,0.93,0.8
0.36,0.92,0.87
0.39,0.91,0.94
0.42,0.89,1.01
0.45,0.88,1.08
0.48,0.86,1.16
0.51,0.84,1.23
0.54,0.82,1.3
0.57,0.8,1.37
0.6,0.78,1.45
0.63,0.76,1.52
0.66,0.74,1.59
0.69,0.71,1.66
0.72,0.69,1.74
0.75,0.66,1.81
0.78,0.63,1.88
0.81,0.6,1.95
0.84,0.57,2.02
0.87,0.54,2.1
0.9,0.51,2.17
0.93,0.48,2.24
0.96,0.44,2.31
0.99,0.41,2.39
1.02,0.37,2.46
1.05,0.34,2.53
1.08,0.3,2.6
1.11,0.26,2.68
1.14,0.22,2.75
1.17,0.18,2.82
1.2,0.13,2.89
1.23,0.09,2.96
1.26,0.04,3.04
1.29,0,3.1
